序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
77,香港,麥路人,2020/09/17,華映娛樂股份有限公司,寰亞電影製作有限公司##無限動力實業有限公司##北京拉近影業有限公司##寰亞電影發行(北京）有限公司##中影寰亞音像製品有限公司##墨客行影業（北京）有限公司##雅美星有限公司##霍爾果斯泰洋川禾文化傳媒有限公司##百代環球(北京)國際資產管理有限公司##北京林夕影業有限公司##北京大美寰宇影業有限公司##星光聯盟影業無錫有限公司,1,9,-30.77%,990,"18,459","3,923,026"
78,美國,密弒直播,2020/09/11,威視股份有限公司,"MELVILLE FILMS, INC.",1,52,0.00%,"6,120","14,891","3,201,017"
79,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,1,52,8.33%,"5,900","6,996","1,535,030"
80,美國,花木蘭,2020/09/04,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",2,40,-77.65%,"2,650","312,952","72,353,750"
81,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,9,944,-37.65%,"85,074","1,386,043","349,645,633"
82,中華民國,可不可以，你也剛好喜歡我,2020/08/21,華映娛樂股份有限公司,華映娛樂股份有限公司##中環國際娛樂事業股份有限公司##星泰國際娛樂股份有限公司##樂到家國際娛樂股份有限公司##新線索(北京)影視投資有限公司##艾迪昇傳播事業有限公司##滿滿額娛樂股份有限公司##百聿數碼創意股份有限公司##馬棋朵數位影像製作有限公司,5,125,-71.40%,"12,385","342,057","79,234,914"
83,澳洲,聖雅各的天空,2020/08/21,海鵬影業有限公司,Parkland Pictures Limited,1,86,-51.69%,"4,300","9,440","2,009,489"
84,日本,東京教父:4K數位修復版,2020/08/19,光年映畫有限公司,TOHOKUSHINSHA FILM CORPORATION,3,21,-48.78%,"4,520","16,571","3,910,874"
85,中華民國,怪胎,2020/08/05,牽猴子整合行銷股份有限公司,牽猴子整合行銷股份有限公司##滿滿額娛樂股份有限公司##台灣大哥大股份有限公司,1,57,-49.11%,"5,050","195,406","45,127,111"
86,日本,藍色恐懼：數位修復版,2020/07/17,光年映畫有限公司,MADHOUSE Inc.,1,7,-97.59%,"1,600","38,132","9,036,906"
87,日本,角落小夥伴電影版：魔法繪本裡的新朋友,2020/07/03,威視股份有限公司,"ASMIK ACE, INC.",5,438,-36.89%,"32,685","344,495","80,261,346"
88,美國,1917,2020/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,60,0.00%,"19,546","304,123","74,518,774"
89,加拿大,哈柏太空之旅 3D,2019/02/04,國際電影事業有限公司,IMAX Corporation,1,0,-100.00%,0,719,"105,545"
90,加拿大,深海獵奇 3D,2019/02/03,國際電影事業有限公司,IMAX Corporation,1,0,-100.00%,0,"1,309","163,329"
91,美國,愛在午夜希臘時,2004/11/26,采昌國際多媒體股份有限公司,"IM Global, LLC",1,40,-60.00%,"8,745","1,480","327,010"
92,英國,愛是您·愛是我,2004/02/13,東昊影業有限公司,Studiocanal S.A.S,12,318,-68.20%,"68,452","2,988","708,651"
93,美國,愛在日落巴黎時,1996/02/22,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,27,-81.12%,"6,185","2,840","634,684"
